dates;spread
1986m3;1.5
1986m4;1.4
1986m5;1.2
1986m6;1.21
1986m7;1.28
1986m8;1.46
1986m9;1.31
1986m10;1.38
1986m11;1.39
1986m12;1.48
1987m1;1.36
1987m2;1.27
1987m3;1.25
1987m4;1.19
1987m5;1.18
1987m6;1.2
1987m7;1.19
1987m8;1.13
1987m9;1.13
1987m10;1.1
1987m11;1.22
1987m12;1.18
1988m1;1.19
1988m2;1.22
1988m3;1.18
1988m4;1.23
1988m5;1.14
1988m6;1.14
1988m7;1.15
1988m8;1.1
1988m9;1.08
1988m10;0.9
1988m11;1.03
1988m12;1.08
1989m1;1.03
1989m2;0.97
1989m3;0.87
1989m4;0.82
1989m5;0.89
1989m6;0.93
1989m7;0.94
1989m8;0.92
1989m9;0.9
1989m10;0.89
1989m11;0.92
1989m12;0.96
1990m1;0.95
1990m2;0.92
1990m3;0.84
1990m4;0.84
1990m5;0.94
1990m6;0.96
1990m7;0.96
1990m8;1
1990m9;1.08
1990m10;1.21
1990m11;1.32
1990m12;1.38
1991m1;1.41
1991m2;1.24
1991m3;1.16
1991m4;1.08
1991m5;1
1991m6;0.95
1991m7;0.89
1991m8;0.9
1991m9;0.9
1991m10;0.94
1991m11;0.97
1991m12;0.95
1992m1;0.93
1992m2;0.94
1992m3;0.9
1992m4;0.88
1992m5;0.85
1992m6;0.83
1992m7;0.77
1992m8;0.7
1992m9;0.7
1992m10;0.85
1992m11;0.86
1992m12;0.83
1993m1;0.76
1993m2;0.68
1993m3;0.57
1993m4;0.68
1993m5;0.78
1993m6;0.74
1993m7;0.76
1993m8;0.75
1993m9;0.68
1993m10;0.64
1993m11;0.73
1993m12;0.76
1994m1;0.73
1994m2;0.68
1994m3;0.65
1994m4;0.64
1994m5;0.63
1994m6;0.68
1994m7;0.69
1994m8;0.67
1994m9;0.64
1994m10;0.63
1994m11;0.64
1994m12;0.64
1995m1;0.62
1995m2;0.59
1995m3;0.58
1995m4;0.57
1995m5;0.55
1995m6;0.6
1995m7;0.63
1995m8;0.62
1995m9;0.61
1995m10;0.63
1995m11;0.66
1995m12;0.67
1996m1;0.66
1996m2;0.64
1996m3;0.68
1996m4;0.69
1996m5;0.68
1996m6;0.69
1996m7;0.7
1996m8;0.72
1996m9;0.69
1996m10;0.68
1996m11;0.69
1996m12;0.69
1997m1;0.67
1997m2;0.63
1997m3;0.63
1997m4;0.61
1997m5;0.62
1997m6;0.61
1997m7;0.61
1997m8;0.6
1997m9;0.55
1997m10;0.57
1997m11;0.55
1997m12;0.56
1998m1;0.58
1998m2;0.58
1998m3;0.6
1998m4;0.64
1998m5;0.61
1998m6;0.6
1998m7;0.6
1998m8;0.62
1998m9;0.69
1998m10;0.81
1998m11;0.93
1998m12;1.01
1999m1;1.05
1999m2;0.99
1999m3;0.91
1999m4;0.84
1999m5;0.79
1999m6;0.79
1999m7;0.76
1999m8;0.75
1999m9;0.81
1999m10;0.83
1999m11;0.79
1999m12;0.64
2000m1;0.55
2000m2;0.61
2000m3;0.69
2000m4;0.76
2000m5;0.91
2000m6;0.81
2000m7;0.7
2000m8;0.71
2000m9;0.73
2000m10;0.79
2000m11;0.83
2000m12;0.81
2001m1;0.78
2001m2;0.77
2001m3;0.86
2001m4;0.87
2001m5;0.78
2001m6;0.79
2001m7;0.84
2001m8;0.83
2001m9;0.86
2001m10;0.88
2001m11;0.84
2001m12;1.28
2002m1;1.32
2002m2;1.38
2002m3;1.3
2002m4;1.27
2002m5;1.34
2002m6;1.32
2002m7;1.37
2002m8;1.21
2002m9;1.25
2002m10;1.41
2002m11;1.31
2002m12;1.24
2003m1;1.18
2003m2;1.11
2003m3;1.06
2003m4;1.11
2003m5;1.16
2003m6;1.22
2003m7;1.13
2003m8;1.13
2003m9;1.07
2003m10;1.03
2003m11;1.01
2003m12;0.98
2004m1;0.9
2004m2;0.77
2004m3;0.78
2004m4;0.73
2004m5;0.71
2004m6;0.77
2004m7;0.8
2004m8;0.81
2004m9;0.81
2004m10;0.74
2004m11;0.68
2004m12;0.68
2005m1;0.66
2005m2;0.62
2005m3;0.66
2005m4;0.72
2005m5;0.86
2005m6;0.9
2005m7;0.89
2005m8;0.87
2005m9;0.9
2005m10;0.95
2005m11;0.97
2005m12;0.95
2006m1;0.95
2006m2;0.92
2006m3;0.88
2006m4;0.84
2006m5;0.8
2006m6;0.89
2006m7;0.91
2006m8;0.91
2006m9;0.92
2006m10;0.91
2006m11;0.87
2006m12;0.9
2007m1;0.94
2007m2;0.89
2007m3;0.97
2007m4;0.92
