dates;values
2023-01;84.28
2022-12;83.53
2022-11;77.0
2022-10;75.46
2022-09;73.55
2022-08;75.19
2022-07;75.51
2022-06;78.92
2022-05;79.87
2022-04;83.83
2022-03;83.54
2022-02;86.71
2022-01;90.16
2021-12;90.67
2021-11;94.88
2021-10;97.95
2021-09;99.61
2021-08;103.2
2021-07;100.42
2021-06;98.46
2021-05;98.55
2021-04;91.68
2021-03;94.12
2021-02;89.98
2021-01;96.78
2020-12;95.6
2020-11;96.79
2020-10;98.25
2020-09;82.75
2020-08;88.18
2020-07;85.08
2020-06;86.27
2020-05;88.87
2020-04;85.33
2020-03;94.36
2020-02;97.5
2020-01;95.75
2019-12;96.17
2019-11;98.22
2019-10;97.08
2019-09;96.41
2019-08;98.54
2019-07;99.26
2019-06;99.64
2019-05;102.51
2019-04;99.13
2019-03;98.42
2019-02;96.9
2019-01;98.24
2018-12;99.59
2018-11;98.08
2018-10;99.08
2018-09;98.61
2018-08;96.95
2018-07;100.45
2018-06;100.5
2018-05;100.01
2018-04;98.5
2018-03;101.49
2018-02;103.77
2018-01;99.4
2017-12;98.66
2017-11;95.43
2017-10;93.62
2017-09;99.23
2017-08;97.28
2017-07;95.08
2017-06;92.46
2017-05;98.0
2017-04;99.09
2017-03;96.24
2017-02;92.7
2017-01;100.68
2016-12;95.01
2016-11;96.54
2016-10;94.61
2016-09;93.5
2016-08;93.7
2016-07;93.87
2016-06;99.84
2016-05;96.39
2016-04;101.35
2016-03;101.33
2016-02;100.74
2016-01;98.01
2015-12;95.21
2015-11;99.91
2015-10;106.13
2015-09;100.3
2015-08;101.32
2015-07;101.79
2015-06;99.59
2015-05;96.24
2015-04;97.11
2015-03;99.11
2015-02;101.31
2015-01;101.97
2014-12;100.63
2014-11;98.37
2014-10;97.37
2014-09;100.24
2014-08;102.08
2014-07;104.2
2014-06;98.72
2014-05;99.56
2014-04;96.17
2014-03;94.96
2014-02;96.12
2014-01;97.25
2013-12;98.49
2013-11;100.71
2013-10;98.28
2013-09;99.34
2013-08;99.65
2013-07;100.0
2013-06;99.18
2013-05;103.5
2013-04;104.49
2013-03;102.54
2013-02;102.01
2013-01;100.23
2012-12;99.99
2012-11;102.17
2012-10;100.57
2012-09;97.48
2012-08;94.48
2012-07;93.3
2012-06;94.85
2012-05;96.68
2012-04;105.39
2012-03;96.33
2012-02;106.76
2012-01;99.04
2011-12;98.28
2011-11;96.86
2011-10;100.12
2011-09;99.75
2011-08;100.06
2011-07;101.6
2011-06;102.33
2011-05;98.5
2011-04;97.8
2011-03;99.48
2011-02;99.38
2011-01;101.91
2010-12;107.53
2010-11;103.48
2010-10;98.49
2010-09;100.1
2010-08;102.49
2010-07;101.63
2010-06;101.0
2010-05;97.25
2010-04;98.77
2010-03;100.31
2010-02;99.79
2010-01;99.54
2009-12;96.25
2009-11;91.27
2009-10;92.4
2009-09;92.16
2009-08;92.05
2009-07;91.05
2009-06;90.79
2009-05;97.18
2009-04;96.67
2009-03;98.02
2009-02;100.83
2009-01;102.36
2008-12;101.64
2008-11;101.47
2008-10;98.84
2008-09;101.02
2008-08;101.32
2008-07;101.82
2008-06;101.44
2008-05;101.04
2008-04;108.65
2008-03;101.08
2008-02;97.82
2008-01;97.59
2007-12;99.62
2007-11;97.55
2007-10;104.64
2007-09;102.96
2007-08;103.74
2007-07;102.17
2007-06;102.31
2007-05;99.12
2007-04;96.82
2007-03;101.33
2007-02;98.23
2007-01;96.13
2006-12;98.57
2006-11;99.6
2006-10;101.48
2006-09;102.69
2006-08;100.62
2006-07;101.3
2006-06;100.07
2006-05;101.66
2006-04;106.62
2006-03;100.49
2006-02;98.89
2006-01;101.76
2005-12;101.3
2005-11;101.88
2005-10;99.48
2005-09;100.94
2005-08;102.24
2005-07;99.74
2005-06;101.8
2005-05;101.74
2005-04;100.96
2005-03;100.67
2005-02;102.79
2005-01;100.1
2004-12;102.18
2004-11;102.28
2004-10;102.54
2004-09;99.47
2004-08;98.72
2004-07;98.49
2004-06;98.57
2004-05;99.52
2004-04;99.47
2004-03;101.25
2004-02;98.31
2004-01;100.5
2003-12;99.55
2003-11;98.99
2003-10;99.24
2003-09;94.59
2003-08;97.28
2003-07;98.35
2003-06;97.51
2003-05;97.11
2003-04;97.84
2003-03;98.18
2003-02;105.26
2003-01;101.05
2002-12;98.98
2002-11;98.1
2002-10;98.94
2002-09;98.98
2002-08;97.21
2002-07;98.6
2002-06;99.94
2002-05;101.85
2002-04;98.64
2002-03;97.09
2002-02;94.7
2002-01;96.14
2001-12;98.52
2001-11;98.66
2001-10;97.66
2001-09;99.93
2001-08;98.67
2001-07;98.52
2001-06;96.31
2001-05;96.95
2001-04;96.59
2001-03;94.41
2001-02;93.61
2001-01;94.28
2000-12;92.76
2000-11;95.33
2000-10;95.39
2000-09;95.5
2000-08;97.14
2000-07;96.04
2000-06;95.84
2000-05;95.08
2000-04;95.23
2000-03;94.86
2000-02;93.42
2000-01;92.51
1999-12;93.14
1999-11;93.18
1999-10;93.17
1999-09;93.71
1999-08;93.02
1999-07;93.25
1999-06;91.28
1999-05;89.43
1999-04;91.29
1999-03;90.71
1999-02;94.21
1999-01;87.67
1998-12;91.14
1998-11;91.58
1998-10;90.4
1998-09;85.99
1998-08;80.52
1998-07;87.18
1998-06;91.73
1998-05;92.05
1998-04;92.14
1998-03;91.57
1998-02;91.19
1998-01;89.17
1997-12;88.67
1997-11;87.81
1997-10;90.3
1997-09;89.61
1997-08;91.18
1997-07;89.75
1997-06;89.82
1997-05;88.64
1997-04;88.76
1997-03;82.56
1997-02;86.85
1997-01;90.55
1996-12;91.96
1996-11;89.71
1996-10;89.94
1996-09;90.35
1996-08;88.21
1996-07;89.15
1996-06;89.25
1996-05;90.88
1996-04;89.01
1996-03;90.89
1996-02;92.74
1996-01;87.15
1995-12;84.31
1995-11;85.77
1995-10;82.83
1995-09;87.54
1995-08;89.6
1995-07;89.27
1995-06;89.02
1995-05;88.6
1995-04;87.95
1995-03;90.16
1995-02;82.36
1995-01;88.52
1994-12;84.18
1994-11;81.3
1994-10;85.32
1994-09;85.26
1994-08;85.2
1994-07;85.89
1994-06;84.48
1994-05;83.44
1994-04;88.18
1994-03;80.55
1994-02;83.94
1994-01;82.74
1993-12;83.46
1993-11;87.41
1993-10;83.68
1993-09;83.64
1993-08;82.25
1993-07;82.37
1993-06;82.39
