dates;values;
2023-02;161.99;A
2023-01;160.08;A
2022-12;158.89;A
2022-11;159.96;A
2022-10;159.94;A
2022-09;159.64;A
2022-08;157.83;A
2022-07;153.58;A
2022-06;156.11;A
2022-05;155.14;A
2022-04;155.26;A
2022-03;150.21;A
2022-02;152.42;A
2022-01;155.86;A
2021-12;157.94;A
2021-11;144.93;A
2021-10;155.3;A
2021-09;151.07;A
2021-08;149.58;A
2021-07;147.9;A
2021-06;151.9;A
2021-05;153.95;A
2021-04;159.25;A
2021-03;142.96;A
2021-02;149.89;A
2021-01;156.36;A
2020-12;158.77;A
2020-11;152.25;A
2020-10;137.64;A
2020-09;141.13;A
2020-08;162.92;A
2020-07;150.68;A
2020-06;146.12;A
2020-05;123.72;A
2020-04;58.59;A
2020-03;104.0;A
2020-02;147.14;A
2020-01;151.7;A
2019-12;142.17;A
2019-11;153.68;A
2019-10;150.65;A
2019-09;153.98;A
2019-08;149.81;A
2019-07;145.29;A
2019-06;149.47;A
2019-05;152.87;A
2019-04;138.73;A
2019-03;151.6;A
2019-02;147.23;A
2019-01;133.22;A
2018-12;133.03;A
2018-11;139.99;A
2018-10;137.26;A
2018-09;135.71;A
2018-08;120.67;A
2018-07;143.96;A
2018-06;149.88;A
2018-05;108.39;A
2018-04;129.09;A
2018-03;128.56;A
2018-02;119.16;A
2018-01;127.24;A
2017-12;128.86;A
2017-11;119.68;A
2017-10;117.77;A
2017-09;116.01;A
2017-08;105.6;A
2017-07;108.05;A
2017-06;103.65;A
2017-05;89.77;A
2017-04;97.48;A
2017-03;107.38;A
2017-02;107.55;A
2017-01;103.73;A
2016-12;98.91;A
2016-11;104.29;A
2016-10;102.43;A
2016-09;98.15;A
2016-08;109.54;A
2016-07;102.63;A
2016-06;104.13;A
2016-05;103.7;A
2016-04;105.09;A
2016-03;100.91;A
2016-02;104.99;A
2016-01;99.93;A
2015-12;102.28;A
2015-11;98.04;A
2015-10;105.95;A
2015-09;91.33;A
2015-08;106.22;A
2015-07;99.96;A
2015-06;102.2;A
2015-05;102.96;A
2015-04;102.58;A
2015-03;97.24;A
2015-02;98.58;A
2015-01;92.66;A
2014-12;96.02;A
2014-11;92.2;A
2014-10;93.29;A
2014-09;95.08;A
2014-08;90.64;A
2014-07;93.06;A
2014-06;92.89;A
2014-05;86.87;A
2014-04;101.97;A
2014-03;88.42;A
2014-02;85.41;A
2014-01;91.16;A
2013-12;93.94;A
2013-11;98.04;A
2013-10;91.22;A
2013-09;88.79;A
2013-08;77.23;A
2013-07;90.41;A
2013-06;90.23;A
2013-05;85.08;A
2013-04;91.72;A
2013-03;86.0;A
2013-02;88.92;A
2013-01;94.72;A
2012-12;105.08;A
2012-11;88.57;A
2012-10;80.8;A
2012-09;92.51;A
2012-08;75.48;A
2012-07;96.89;A
2012-06;94.61;A
2012-05;104.04;A
2012-04;88.65;A
2012-03;111.73;A
2012-02;114.94;A
2012-01;107.7;A
2011-12;95.14;A
2011-11;109.89;A
2011-10;102.02;A
2011-09;105.48;A
2011-08;104.03;A
2011-07;105.95;A
2011-06;102.44;A
2011-05;128.87;A
2011-04;109.03;A
2011-03;104.35;A
2011-02;100.64;A
2011-01;104.14;A
2010-12;105.72;A
2010-11;103.4;A
2010-10;107.01;A
2010-09;107.06;A
2010-08;99.76;A
2010-07;111.07;A
2010-06;106.61;A
2010-05;108.99;A
2010-04;100.15;A
2010-03;82.66;A
2010-02;80.89;A
2010-01;71.37;A
2009-12;75.89;A
2009-11;64.39;A
2009-10;66.49;A
2009-09;66.98;A
2009-08;73.88;A
2009-07;67.33;A
2009-06;67.04;A
2009-05;64.84;A
2009-04;72.55;A
2009-03;72.27;A
2009-02;72.97;A
2009-01;60.44;A
2008-12;87.09;A
2008-11;82.02;A
2008-10;83.58;A
2008-09;89.39;A
2008-08;95.21;A
2008-07;96.86;A
2008-06;93.24;A
2008-05;91.08;A
2008-04;102.8;A
2008-03;85.99;A
2008-02;98.18;A
2008-01;98.76;A
2007-12;98.95;A
2007-11;100.04;A
2007-10;105.42;A
2007-09;99.44;A
2007-08;90.86;A
2007-07;81.94;A
2007-06;93.97;A
2007-05;91.36;A
2007-04;79.2;A
2007-03;89.26;A
2007-02;90.02;A
2007-01;90.16;A
2006-12;85.27;A
2006-11;88.2;A
2006-10;86.46;A
2006-09;80.36;A
2006-08;82.3;A
2006-07;80.82;A
2006-06;82.71;A
2006-05;82.2;A
2006-04;84.26;A
2006-03;80.93;A
2006-02;95.0;A
2006-01;80.31;A
2005-12;81.81;A
2005-11;86.47;A
2005-10;78.05;A
2005-09;89.07;A
2005-08;80.92;A
2005-07;84.16;A
2005-06;89.4;A
2005-05;95.18;A
2005-04;80.4;A
2005-03;86.74;A
2005-02;82.98;A
2005-01;90.98;A
2004-12;82.84;A
2004-11;83.07;A
2004-10;86.85;A
2004-09;88.96;A
2004-08;84.82;A
2004-07;90.79;A
2004-06;86.65;A
2004-05;84.71;A
2004-04;84.89;A
2004-03;88.98;A
2004-02;85.11;A
2004-01;83.27;A
2003-12;84.23;A
2003-11;82.25;A
2003-10;87.59;A
2003-09;89.35;A
2003-08;101.63;A
2003-07;88.04;A
2003-06;85.63;A
2003-05;82.44;A
2003-04;94.11;A
2003-03;89.36;A
2003-02;92.85;A
2003-01;89.51;A
2002-12;87.99;A
2002-11;86.19;A
2002-10;84.71;A
2002-09;82.79;A
2002-08;86.42;A
2002-07;83.96;A
2002-06;88.09;A
2002-05;88.53;A
2002-04;87.27;A
2002-03;90.26;A
2002-02;86.84;A
2002-01;87.56;A
2001-12;84.47;A
2001-11;83.89;A
2001-10;83.25;A
2001-09;76.7;A
2001-08;83.17;A
2001-07;78.49;A
2001-06;78.14;A
2001-05;76.59;A
2001-04;83.02;A
2001-03;86.4;A
2001-02;88.06;A
2001-01;82.48;A
2000-12;92.6;A
2000-11;85.91;A
2000-10;87.29;A
2000-09;78.65;A
2000-08;83.06;A
2000-07;83.67;A
2000-06;87.75;A
2000-05;95.27;A
2000-04;100.04;A
2000-03;85.66;A
2000-02;86.53;A
2000-01;88.21;A
1999-12;101.27;A
1999-11;101.08;A
1999-10;98.63;A
1999-09;95.99;A
1999-08;99.45;A
1999-07;94.98;A
1999-06;93.28;A
1999-05;98.87;A
1999-04;101.14;A
1999-03;95.61;A
1999-02;94.54;A
1999-01;95.47;A
1998-12;87.81;A
1998-11;85.75;A
1998-10;83.15;A
1998-09;83.16;A
1998-08;89.3;A
1998-07;88.14;A
1998-06;81.61;A
1998-05;78.74;A
1998-04;79.43;A
1998-03;82.85;A
1998-02;84.1;A
1998-01;83.28;A
1997-12;87.44;A
1997-11;86.09;A
1997-10;87.61;A
1997-09;92.24;A
1997-08;90.3;A
1997-07;91.5;A
1997-06;91.73;A
1997-05;85.66;A
